nom;idparking;idparkingcriter;commune;insee;proprietaire;gestionnaire;idfournisseur;voieentree;voiesortie;avancement;annee;typeparking;situation;parkingtempsreel;gabarit;capacite;capacite2rm;capacitevelo;capaciteautopartage;capacitepmr;usage;vocation;reglementation;fermeture;observation;codetype;gid;lon;lat
Gare du Bois d'Oignt Légny;P1070;;;;;SNCF;;Les Ponts Tarrets;Les Ponts Tarrets;Existant;;P+R Gare;En surface;False;;85;;;0;4;Libre;Mixte;Gratuit;Ouvert 24h/24h;;2;8561;4,57504299952124;45,9065838996341
Parking du Valvert;P1101;;Tassin-la-Demi-Lune;69244;;;;Chemin du Vieux Moulin;Chemin du Vieux Moulin;Existant;;Aire de covoiturage;En surface;;;3;;;;;;;;;Arrêté n°2019-407 du 28/11/2019;6;8587;4,77702234301532;45,7655409252386
Cuirassiers 2 centre commercial;P18;9;Lyon 3e Arrondissement;69383;GRAND LYON;LPA;LPA0369;17, Rue Docteur Bouchut;17, Rue Docteur Bouchut;Existant;2018;Parc concédé GL;En ouvrage (en élévation);True;2.0;150;0;0;0;;Horaire;Commerciale;Payant;Ouvert 24h/24h;9-[PARKING_9];1;740;4,85517719712599;45,7596582580609
Pierre Cot;P940;;Saint-Priest;69290;;;;13e rue de la Cité Berliet;Avenue Pierre Cot;Existant;;Aire de covoiturage;En surface;False;;50;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;6;8303;4,89767134478472;45,7062091384744
Edouard Brenot;P625;;Grigny;69096;GRAND LYON;GRAND LYON;;Rue Gilbert Bernard;Rue Gilbert Bernard;Existant;;Poche de stationnement;En surface;False;;35;0;0;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;5;7047;4,78777177338832;45,6064258626924
Charrière Blanche;P314;;Écully;69081;COMMUNE;COMMUNE;;Chemin de Charrière Blanche;Chemin de Charrière Blanche;Existant;;Poche de stationnement;En surface;False;;50;;;;2;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;1074;4,77709837608773;45,7781903905922
Gare de Mionnay;P1073;;;;;SNCF;;Chemin de la Forêt;Chemin de la Forêt;Existant;;P+R Gare;En surface;False;;65;;;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h;;2;8555;4,91975199978306;45,8966784004176
Champvillard;P915;;Irigny;69100;COMMUNE;COMMUNE;;Rue de Boutan;Rue de Boutan;Existant;;Poche de stationnement;En surface;False;;160;0;0;0;5;Libre;Evènementielle;Gratuit;Nuit;;5;8276;4,8103904433842;45,6684475894925
Jeu de Boules;P676;;Craponne;69069;COMMUNE;COMMUNE;;Impasse des Terres Plates;Impasse des Terres Plates;Existant;;Poche de stationnement;En surface;False;;12;0;6;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;5;7124;4,72596187391095;45,7443946108999
Genay - ZI;P9002;;Genay;69278;;TSMO;;Route de Trévoux;;Existant;;Covoiturage spontané;;;;;;;;;;;;;Autohop;8;8324;4,8259084071873;45,890468200871
Gare de Lozanne;P1060;;;;;SNCF;;Avenue de la Gare;Avenue de la Gare;Existant;;P+R Gare;En surface;False;;160;;48;0;6;Libre;Mixte;Gratuit;Ouvert 24h/24h;;2;8557;4,68150099993388;45,8541400001173
Centre Commercial des Epis d'Or;P138;;Corbas;69273;PRIVE;PRIVE;;Rue Jean Macé;Rue Jean Macé;Existant;;Parc privé (ou concédé non GL);En surface;False;;128;0;0;0;4;Libre;Commerciale;Gratuit;Ouvert 24h/24h;;4;6935;4,90229670911989;45,6597329095068
Gare de Saint Maurice de Beynost;P1077;;;;;SNCF;;Avenue de la Gare;Avenue de la Gare;Existant;;P+R Gare;En surface;False;;25;;;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;2;8534;4,97698600022068;45,8274209996256
Gadagne - Millaud;P931;;Saint-Genis-Laval;69204;;;;Avenue de Gadagne;Avenue de Gadagne;Existant;;Aire de covoiturage;En surface;False;;24;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;6;8292;4,78579950081376;45,6943584643027
ZAC des Gaulnes;P925;;Jonage;69279;;;;Boulevard Marcel Dassault;Boulevard Marcel Dassault;Existant;;Aire de covoiturage;En surface;False;;10;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;6;8286;5,03367131473629;45,7775653219936
ZI La Rize - Saillant;P1022;;Vaulx-en-Velin;69256;COMMUNE;COMMUNE;;Rue Louis Saillant;Rue Louis Saillant;Existant;;Poche de stationnement;En surface;False;1.9;40;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;8472;4,94091931825884;45,7771987375189
Pont Mouton;P895;;Lyon 9e Arrondissement;69389;GRAND LYON;GRAND LYON;;Quai Arloing;Quai Arloing;Existant;;Poche de stationnement;En surface;False;;90;0;0;0;0;Horaire;Mixte;Payant;Ouvert 24h/24h;horodateur;5;8255;4,81109251767949;45,7724156675436
Parking P1 - Aéroport Lyon - St-Exupéry;P935;31;;;LPA;LPA;LPA0750;Aéroport Saint Exupéry;Aéroport Saint Exupéry;Existant;;Parc privé (ou concédé non GL);En ouvrage (sous-sol);True;1.9;1977;11;0;0;9;Horaire;Commerciale;Payant;Ouvert 24h/24h;durée de stationnement conseillé 0 à 3 jours;4;8297;5,0770351151362;45,7197100758361
Parking Morand Lyautey;P25;19;Lyon 6e Arrondissement;69386;GRAND LYON;LPA;LPA0756;Rue de Sèze;Quai Sarrail;Existant;2008;Parc concédé GL;En ouvrage (sous-sol);True;1.9;697;45;111;3;;Mixte;Mixte;Payant;Ouvert 24h/24h;;1;738;4,84164300258176;45,7677404029861
Marché;P989;;Vénissieux;69259;COMMUNE;COMMUNE;;Rue Gabriel Bourdarias;Rue Gabriel Bourdarias;Existant;;Poche de stationnement;En surface;False;;200;0;0;0;0;Libre;Mixte;Gratuit;Marché;;5;8385;4,87181057806949;45,6920532982518
Eglise;P140;;Craponne;69069;Privé;;;Avenue Jean Bergeron;Avenue Jean Bergeron;Existant;;Parc privé (ou concédé non GL);En surface;False;;23;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;4;1056;4,72267709379951;45,7446175490749
Place du Marché;P618;;Rochetaillée-sur-Saône;69168;GRAND LYON;GRAND LYON;;Chemin du Train Bleu;Chemin du Train Bleu;Existant;2004;Poche de stationnement;En surface;False;;30;0;0;0;0;Libre;Evènementielle;Gratuit;;ouverture occasionnelle;5;7034;4,83415760001755;45,8403185737906
Ecole Joseph Fontanet;P698;;Jonage;69279;GRAND LYON;GRAND LYON;;Chemin des Buissonières;Allée des Buissonières;Existant;;Poche de stationnement;En surface;False;;20;1;3;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;7166;5,04749153696393;45,798313002444
Lamartine;P800;;Charbonnières-les-Bains;69044;;;;Avenue Lamartine;Avenue Lamartine;Existant;;Poche de stationnement;En surface;False;;16;0;0;0;0;Libre;Commerciale;Zone bleue;Ouvert 24h/24h;;5;8137;4,7383554152402;45,7816906373472
ZI Montgolfier;P1037;;Chassieu;69271;COMMUNE;COMMUNE;;Avenue des Frères Montgolfier;Rue Auguste Fresnel;Existant;;Poche de stationnement;En surface;False;;250;0;0;0;2;Mixte;Commerciale;Gratuit;Ouvert 24h/24h;;5;8504;4,96982854225474;45,7256075121273
Gare de Quincieux;P79;;Quincieux;69163;;SNCF;;Chemin de la Halte;Chemin de la Halte;Existant;;P+R Gare;En surface;False;;46;0;0;0;2;Libre;;Gratuit;Ouvert 24h/24h;;2;8342;4,77821400382642;45,9073554050435
Place du 158ème Régiment d'Infanterie;P744;;Lyon 5e Arrondissement;69385;GRAND LYON;GRAND LYON;;Rue Cardinal Gerlier;Rue Cardinal Gerlier;Existant;;Poche de stationnement;En surface;False;;23;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;8054;4,81322356361468;45,762883547943
Grand Moulin d'Yzeron;P512;;Francheville;69089;GRAND LYON;GRAND LYON;;Chemin du Grand Moulin;Chemin du Grand Moulin;Existant;;Poche de stationnement;En surface;False;;10;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;5;6164;4,73730401493386;45,7409504419015
Parking Récamier;P5;76;Lyon 2e Arrondissement;69382;GRAND LYON;SAJR;SAJR_1;Quai Gailleton;Quai Gailleton;Existant;1992;Parc concédé GL;En ouvrage (sous-sol);False;2.0;176;0;0;;;Mixte;Mixte;Payant;Ouvert 24h/24h;;1;733;4,83095228152792;45,7495193982995
Boulodrome;P664;;Décines-Charpieu;69275;;;;Rue Paul Bert;Rue Paul Bert;Existant;;Poche de stationnement;En surface;False;2.0;26;0;;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;5;7092;4,95329428761935;45,7673763620492
Place Andrée Marie Perrin;P301;;Craponne;69069;GRAND LYON;GRAND LYON;;Place Andrée Marie Perrin;Place Andrée Marie Perrin;Existant;;Poche de stationnement;En surface;False;;60;1;0;0;2;Libre;Commerciale;Zone bleue;Marché;mercredi et samedi matin;5;1061;4,72357976187231;45,7465830996964
Place des Palabres;P452;;Saint-Fons;69199;GRAND LYON;GRAND LYON;;Rue d'Avignon;Rue de la Rochette;Existant;;Poche de stationnement;En surface;False;;29;0;10;0;4;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;4801;4,85625396176943;45,6940420190962
